language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,DAN-46828,Lux Bar Gardenia Blossom 2*170 g,Supermarket///Retail///Packaged Products,,Lux Bar Gardenia Blossom 2*170 g,Lux Bar Gardenia Blossom 2*170 g,14.5,14.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/108/047/product/lux-soap-silk-sensation-170g.png
ar,DAN-46828,لوكس صابون زهر الغاردينيا ٢*١٧٠ غرام,Supermarket///Retail///Packaged Products,,لوكس صابون زهر الغاردينيا ٢*١٧٠ غرام,Lux Bar Gardenia Blossom 2*170 g,14.5,14.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/108/047/product/lux-soap-silk-sensation-170g.png
en,DAN-55081,Pantene Pro-V Curlastic Step 1 Sulfate Free Shampoo 2*400ml,Supermarket///Retail///Packaged Products,,Pantene Pro-V Curlastic Step 1 Sulfate Free Shampoo 2*400ml,Pantene Pro-V Curlastic Step 1 Sulfate Free Shampoo 2*400ml,39.0,39.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/101/500/product/pantene-pro-v-curlastic-step-1-sulfate-free-shampoo-400ml-20.jpg
ar,DAN-55081,بانتين برو-في كيرلي الخطوة ١ شامبو خالي من السلفات ٢*٤٠٠ مل,Supermarket///Retail///Packaged Products,,بانتين برو-في كيرلي الخطوة ١ شامبو خالي من السلفات ٢*٤٠٠ مل,Pantene Pro-V Curlastic Step 1 Sulfate Free Shampoo 2*400ml,39.0,39.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/101/500/product/pantene-pro-v-curlastic-step-1-sulfate-free-shampoo-400ml-20.jpg
en,DAN-55082,Pantene Pro-V Curlastic Step 2 Moisturizing Conditioner 2*360ml,Supermarket///Retail///Packaged Products,,Pantene Pro-V Curlastic Step 2 Moisturizing Conditioner 2*360ml,Pantene Pro-V Curlastic Step 2 Moisturizing Conditioner 2*360ml,39.0,39.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/101/501/product/pantene-pro-v-curlastic-step-2-moisturizing-conditioner-360ml-20.jpg
ar,DAN-55082,بانتين برو-في كيرلي الخطوة ٢ بلسم يرطب بعمق ٢*٣٦٠ مل,Supermarket///Retail///Packaged Products,,بانتين برو-في كيرلي الخطوة ٢ بلسم يرطب بعمق ٢*٣٦٠ مل,Pantene Pro-V Curlastic Step 2 Moisturizing Conditioner 2*360ml,39.0,39.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/101/501/product/pantene-pro-v-curlastic-step-2-moisturizing-conditioner-360ml-20.jpg
en,DAN-17686,Frico Mild Edam Cheese 1kg,Supermarket///Retail///Cheese & Cold Cuts,Frico,Frico Mild Edam Cheese 1kg,Frico Mild Edam Cheese 1kg,89.95,89.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/871/product/280305700000.jpg
ar,DAN-17686,فريكو جبن إدام معتدل ١كغم,Supermarket///Retail///Cheese & Cold Cuts,فريكو,فريكو جبن إدام معتدل ١كغم,Frico Mild Edam Cheese 1kg,89.95,89.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/871/product/280305700000.jpg
en,DAN-45412,Frico Gouda Cheese 1kg,Supermarket///Retail///Cheese & Cold Cuts,Frico,Frico Gouda Cheese 1kg,Frico Gouda Cheese 1kg,89.95,89.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/865/product/280305600000.jpg
ar,DAN-45412,فريكو جبنة جودا ١كغم,Supermarket///Retail///Cheese & Cold Cuts,فريكو,فريكو جبنة جودا ١كغم,Frico Gouda Cheese 1kg,89.95,89.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/865/product/280305600000.jpg
en,DAN-45416,Danube Smoked Cheese Herbs 1kg,Supermarket///Retail///Cheese & Cold Cuts,Danube,Danube Smoked Cheese Herbs 1kg,Danube Smoked Cheese Herbs 1kg,65.5,65.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/819/product/280353400000-2.jpg
ar,DAN-45416,الدانوب جبنة مدخنة بالأعشاب ١كغم,Supermarket///Retail///Cheese & Cold Cuts,الدانوب,الدانوب جبنة مدخنة بالأعشاب ١كغم,Danube Smoked Cheese Herbs 1kg,65.5,65.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/819/product/280353400000-2.jpg
en,DAN-45413,Frico Gouda Cumin Cheese 1kg,Supermarket///Retail///Cheese & Cold Cuts,Frico,Frico Gouda Cumin Cheese 1kg,Frico Gouda Cumin Cheese 1kg,99.95,99.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/864/product/280387700000.jpg
ar,DAN-45413,فريكو جبنة جودا بالكمون ١كغم,Supermarket///Retail///Cheese & Cold Cuts,فريكو,فريكو جبنة جودا بالكمون ١كغم,Frico Gouda Cumin Cheese 1kg,99.95,99.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/864/product/280387700000.jpg
en,DAN-45415,Danube Cheese Smoked Plain 1kg,Supermarket///Retail///Cheese & Cold Cuts,Danube,Danube Cheese Smoked Plain 1kg,Danube Cheese Smoked Plain 1kg,65.5,65.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/817/product/280353300000-2.jpg
ar,DAN-45415,الدانوب جبن مدخن سادة ١كغم,Supermarket///Retail///Cheese & Cold Cuts,الدانوب,الدانوب جبن مدخن سادة ١كغم,Danube Cheese Smoked Plain 1kg,65.5,65.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/817/product/280353300000-2.jpg
en,DAN-45417,Royal Orange Edam Mild Cheese 1kg,Supermarket///Retail///Cheese & Cold Cuts,Royal Orange,Royal Orange Edam Mild Cheese 1kg,Royal Orange Edam Mild Cheese 1kg,72.0,72.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/081/831/product/280501200000.jpg
